Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
P151263,06/08/2019 09:22:00 PM,421 N PULASKI RD,DRIVER,-87.72574,41.888533,POINT (-87.72574 41.888533)
O1082534,04/25/2021 08:30:00 AM,6300 N CENTRAL AVE,DRIVER,-87.76433185,41.99622779,POINT (-87.76433185 41.99622779)
O1468396,11/23/2022 05:00:00 PM,800 E 87TH ST,DRIVER,-87.60476457,41.73675996,POINT (-87.60476457 41.73675996)
O1690565,10/27/2023 02:00:00 AM,1759 S WESTERN AVE,DRIVER,-87.68567867,41.8575186,POINT (-87.68567867 41.8575186)
O1469406,11/25/2022 05:37:00 PM,5840 W IRVING PARK RD,PEDESTRIAN,-87.77360924,41.95309178,POINT (-87.77360924 41.95309178)
O1092446,05/10/2021 02:33:00 AM,1303 W 103RD ST,DRIVER,-87.65519287,41.70668725,POINT (-87.65519287 41.70668725)
O688492,07/08/2019 02:55:00 AM,970 W SHERIDAN RD,DRIVER,-87.65578,41.99832,POINT (-87.65578 41.99832)
,06/20/2019 12:25:00 PM,REPORTED BY UNIVERSITY OF ILLINOIS CHICAGO POLICE DEPARTMENT,PASSENGER,-87.6467,41.86415224,POINT (-87.6467 41.86415224)
O1064474,03/25/2021 10:41:00 AM,5900 S CICERO AVE,DRIVER,-87.74149,41.785643,POINT (-87.74149 41.785643)
O982037,08/07/2020 12:27:00 PM,3307 S ASHLAND AVE,PEDESTRIAN,-87.60744328,41.8002944,POINT (-87.60744328 41.8002944)
O1437238,09/11/2022 02:29:00 AM,2000 N DUSABLE LAKE SHORE DR,DRIVER,-87.62922482,41.91841623,POINT (-87.62922482 41.91841623)
O1026835,12/19/2020 11:08:00 AM,6902 S ASHLAND AVE,PEDESTRIAN,-87.69388,41.791212,POINT (-87.69388 41.791212)
O627654,04/17/2019 09:35:00 PM,6080 N CALDWELL AVE,DRIVER,-87.7544,41.991424,POINT (-87.7544 41.991424)
O1103269,05/26/2021 04:02:00 AM,200 N KOSTNER AVE,PEDESTRIAN,-87.73570901,41.88330951,POINT (-87.73570901 41.88330951)
O1520058,02/18/2023 08:32:00 AM,5155 W GRAND AVE,DRIVER,-87.7550745,41.91676691,POINT (-87.7550745 41.91676691)
O708332,08/02/2019 07:25:00 PM,5402 S LAKE SHORE DR SB,DRIVER,-87.58087,41.797907,POINT (-87.58087 41.797907)
O1261491,07/17/2021 10:30:00 AM,2740 W ROOSEVELT,CYCLIST,-87.69509809,41.86662933,POINT (-87.69509809 41.86662933)
